date,ticker,price
2024-01-01,AAPL,150.10632567948963
2024-01-02,AAPL,148.3356505274347
2024-01-03,AAPL,150.21325122115846
2024-01-04,AAPL,150.54237043841073
2024-01-05,AAPL,150.37870132707332
2024-01-06,AAPL,150.21946151347973
2024-01-07,AAPL,149.8049045660583
2024-01-08,AAPL,150.00270415801776
2024-01-09,AAPL,151.73478281552678
2024-01-10,AAPL,152.712414792635
2024-01-11,AAPL,153.40239551003728
2024-01-12,AAPL,153.0868542625498
2024-01-13,AAPL,152.00917309658067
2024-01-14,AAPL,151.29348881026158
2024-01-15,AAPL,150.4257174565056
2024-01-16,AAPL,150.16925264191804
2024-01-17,AAPL,150.7820682399616
2024-01-18,AAPL,150.60778440973186
2024-01-19,AAPL,150.56760985445626
2024-01-20,AAPL,150.0580850693956
