date,ticker,price
2024-01-01,AAPL,149.87320631257396
2024-01-02,AAPL,149.31423696068646
2024-01-03,AAPL,149.5016731197675
2024-01-04,AAPL,151.42268679723983
2024-01-05,AAPL,149.37393808497106
2024-01-06,AAPL,150.15327806660378
2024-01-07,AAPL,150.2955993936819
2024-01-08,AAPL,150.286616940086
2024-01-09,AAPL,149.5313537718411
2024-01-10,AAPL,150.69625528906565
2024-01-11,AAPL,149.85017794551896
2024-01-12,AAPL,149.21777298800743
2024-01-13,AAPL,150.40797528896042
2024-01-14,AAPL,152.2370677358004
2024-01-15,AAPL,151.6742918655179
2024-01-16,AAPL,150.66901982717252
2024-01-17,AAPL,150.77600030979886
2024-01-18,AAPL,150.63257381788287
2024-01-19,AAPL,149.7289251210734
2024-01-20,AAPL,149.39094959461025
