date,ticker,price
2024-01-01,AAPL,149.53647140559445
2024-01-02,AAPL,150.49087841262946
2024-01-03,AAPL,149.94395594155537
2024-01-04,AAPL,149.68566828738517
2024-01-05,AAPL,149.8164919816638
2024-01-06,AAPL,148.9827053679205
2024-01-07,AAPL,149.01218487827472
2024-01-08,AAPL,149.07673655906342
2024-01-09,AAPL,148.1719465286887
2024-01-10,AAPL,147.54794566797145
2024-01-11,AAPL,146.68484927321592
2024-01-12,AAPL,146.07205313880857
2024-01-13,AAPL,145.74314211992424
2024-01-14,AAPL,147.74255390742667
2024-01-15,AAPL,147.74538208613697
2024-01-16,AAPL,148.11069100480478
2024-01-17,AAPL,148.31286922329616
2024-01-18,AAPL,147.09070498399169
2024-01-19,AAPL,146.1772224489278
2024-01-20,AAPL,148.7677841717338
